table	condition_a	condition_b	variable	n_a	n_b	mean_a	mean_b	sd_a	sd_b	median_a	median_b	min_a	max_a	min_b	max_b	smd	ks_statistic	category	count
continuous	high_association	low_association	mean_subtlex_zipf	155	155	4.2892888906168976	4.288078618687256	0.5852821275010903	0.5119439192829085	4.1966298484560784	4.270900908197866	2.8743085858930417	5.920808177226605	3.17518959545104	5.9925652341225994	0.002201146225659768	0.06451612903225806		
continuous	high_association	low_association	within_pair_subtlex_difference	155	155	0.9483244800215557	0.9378544448278667	0.631050863555807	0.6749991897944664	0.9365472338431964	0.7684915404624579	0.01484675606857877	2.6915824255294147	0.0	3.6461854647368437	0.016024060544169206	0.10967741935483871		
continuous	high_association	low_association	mean_orthographic_length	155	155	5.125806451612903	5.141935483870967	1.1560028934083582	1.2257449877651632	5.0	5.0	3.5	9.5	3.0	9.0	-0.013538059234058328	0.05161290322580645		
continuous	high_association	low_association	mean_phoneme_count	155	155	4.151612903225806	4.148387096774194	1.0512426066395157	1.1139233832398572	4.0	4.0	2.0	9.0	2.5	8.0	0.002978483470654171	0.06451612903225806		
continuous	high_association	low_association	mean_syllable_count	155	155	1.435483870967742	1.435483870967742	0.46189079716357073	0.5022988626957439	1.5	1.5	1.0	3.0	1.0	3.0	0.0	0.03225806451612903		
continuous	high_association	unrelated	mean_subtlex_zipf	155	310	4.2892888906168976	4.296624341596273	0.5852821275010903	0.5777133578497522	4.1966298484560784	4.304432005811839	2.8743085858930417	5.920808177226605	2.877853925723718	6.340036568086283	-0.012614486872612999	0.1		
continuous	high_association	unrelated	within_pair_subtlex_difference	155	310	0.9483244800215557	0.9474041054740122	0.631050863555807	0.6531867928093742	0.9365472338431964	0.8371097162376573	0.01484675606857877	2.6915824255294147	0.0019463219786644004	3.656948634924361	0.0014331270402347638	0.06451612903225806		
continuous	high_association	unrelated	mean_orthographic_length	155	310	5.125806451612903	5.140322580645162	1.1560028934083582	0.8852366398596213	5.0	5.0	3.5	9.5	3.0	8.5	-0.014099355470797199	0.06774193548387097		
continuous	high_association	unrelated	mean_phoneme_count	155	310	4.151612903225806	4.164516129032258	1.0512426066395157	0.8186927724892088	4.0	4.0	2.0	9.0	2.5	7.0	-0.01369521941515383	0.06774193548387097		
continuous	high_association	unrelated	mean_syllable_count	155	310	1.435483870967742	1.4435483870967742	0.46189079716357073	0.4053130029214409	1.5	1.5	1.0	3.0	1.0	3.0	-0.018559437899249912	0.08387096774193549		
continuous	low_association	unrelated	mean_subtlex_zipf	155	310	4.288078618687256	4.296624341596273	0.5119439192829085	0.5777133578497522	4.270900908197866	4.304432005811839	3.17518959545104	5.9925652341225994	2.877853925723718	6.340036568086283	-0.01565666402744724	0.08064516129032258		
continuous	low_association	unrelated	within_pair_subtlex_difference	155	310	0.9378544448278667	0.9474041054740122	0.6749991897944664	0.6531867928093742	0.7684915404624579	0.8371097162376573	0.0	3.6461854647368437	0.0019463219786644004	3.656948634924361	-0.014378066379285629	0.1032258064516129		
continuous	low_association	unrelated	mean_orthographic_length	155	310	5.141935483870967	5.140322580645162	1.2257449877651632	0.8852366398596213	5.0	5.0	3.0	9.0	3.0	8.5	0.0015086072881894718	0.11612903225806452		
continuous	low_association	unrelated	mean_phoneme_count	155	310	4.148387096774194	4.164516129032258	1.1139233832398572	0.8186927724892088	4.0	4.0	2.5	8.0	2.5	7.0	-0.01649998371542759	0.11290322580645161		
continuous	low_association	unrelated	mean_syllable_count	155	310	1.435483870967742	1.4435483870967742	0.5022988626957439	0.4053130029214409	1.5	1.5	1.0	3.0	1.0	3.0	-0.017670248490970677	0.11612903225806452		
