table	condition_a	condition_b	variable	n_a	n_b	mean_a	mean_b	sd_a	sd_b	median_a	median_b	min_a	max_a	min_b	max_b	smd	ks_statistic	category	count
continuous	incongruent	strong_congruence	mean_content_subtlex_zipf	310	155	4.32728650990333	4.3544532070896285	0.46272906626388877	0.45475837724241097	4.179953830397444	4.183248640194977	3.568934176765745	5.031737454305915	3.5207646386139424	5.1381412354502665	-0.05921753427986357	0.2806451612903226		
continuous	incongruent	strong_congruence	sentence_word_count	310	155	5.735483870967742	5.741935483870968	0.44178835382703346	0.43898805825575765	6.0	6.0	5.0	6.0	5.0	6.0	-0.014649757208932107	0.0064516129032258064		
continuous	incongruent	strong_congruence	sentence_phoneme_count	310	155	20.125806451612902	20.051612903225806	2.6439731480718995	2.896019544104015	20.0	20.0	14.0	27.0	15.0	28.0	0.026757032395137992	0.06451612903225806		
continuous	incongruent	weak_congruence	mean_content_subtlex_zipf	310	155	4.32728650990333	4.325754055721942	0.46272906626388877	0.743051276791043	4.179953830397444	4.409866311819242	3.568934176765745	5.031737454305915	3.10312183814289	5.990342822347596	0.002475820337631948	0.2806451612903226		
continuous	incongruent	weak_congruence	sentence_word_count	310	155	5.735483870967742	5.7612903225806456	0.44178835382703346	0.4276767648183376	6.0	6.0	5.0	6.0	5.0	6.0	-0.059353855083651444	0.025806451612903226		
continuous	incongruent	weak_congruence	sentence_phoneme_count	310	155	20.125806451612902	20.051612903225806	2.6439731480718995	2.655045548040577	20.0	20.0	14.0	27.0	14.0	25.0	0.02800268905419185	0.08387096774193549		
continuous	strong_congruence	weak_congruence	mean_content_subtlex_zipf	155	155	4.3544532070896285	4.325754055721942	0.45475837724241097	0.743051276791043	4.183248640194977	4.409866311819242	3.5207646386139424	5.1381412354502665	3.10312183814289	5.990342822347596	0.0465889672286132	0.23870967741935484		
continuous	strong_congruence	weak_congruence	sentence_word_count	155	155	5.741935483870968	5.7612903225806456	0.43898805825575765	0.4276767648183376	6.0	6.0	5.0	6.0	5.0	6.0	-0.04466130372962762	0.01935483870967742		
continuous	strong_congruence	weak_congruence	sentence_phoneme_count	155	155	20.051612903225806	20.051612903225806	2.896019544104015	2.655045548040577	20.0	20.0	15.0	28.0	14.0	25.0	0.0	0.07741935483870968		
categorical	incongruent		template_family															be_progressive	82
categorical	incongruent		template_family															do_negation	76
categorical	incongruent		template_family															present_3s	79
categorical	incongruent		template_family															simple_past	73
categorical	strong_congruence		template_family															be_progressive	40
categorical	strong_congruence		template_family															do_negation	33
categorical	strong_congruence		template_family															present_3s	42
categorical	strong_congruence		template_family															simple_past	40
categorical	weak_congruence		template_family															be_progressive	37
categorical	weak_congruence		template_family															do_negation	33
categorical	weak_congruence		template_family															present_3s	41
categorical	weak_congruence		template_family															simple_past	44
categorical	incongruent		subject															he	81
categorical	incongruent		subject															she	94
categorical	incongruent		subject															they	135
categorical	strong_congruence		subject															he	56
categorical	strong_congruence		subject															she	51
categorical	strong_congruence		subject															they	48
categorical	weak_congruence		subject															he	54
categorical	weak_congruence		subject															she	52
categorical	weak_congruence		subject															they	49
categorical	incongruent		number_word															five	5
categorical	incongruent		number_word															four	5
categorical	incongruent		number_word															one	88
categorical	incongruent		number_word															six	5
categorical	incongruent		number_word															three	104
categorical	incongruent		number_word															two	103
categorical	strong_congruence		number_word															five	5
categorical	strong_congruence		number_word															four	5
categorical	strong_congruence		number_word															one	65
categorical	strong_congruence		number_word															six	5
categorical	strong_congruence		number_word															three	41
categorical	strong_congruence		number_word															two	34
categorical	weak_congruence		number_word															five	5
categorical	weak_congruence		number_word															four	5
categorical	weak_congruence		number_word															one	34
categorical	weak_congruence		number_word															six	5
categorical	weak_congruence		number_word															three	18
categorical	weak_congruence		number_word															two	88
categorical	incongruent		negation															0	234
categorical	incongruent		negation															1	76
categorical	strong_congruence		negation															0	122
categorical	strong_congruence		negation															1	33
categorical	weak_congruence		negation															0	122
categorical	weak_congruence		negation															1	33
