table	condition_a	condition_b	variable	n_a	n_b	mean_a	mean_b	sd_a	sd_b	median_a	median_b	min_a	max_a	min_b	max_b	smd	ks_statistic	category	count
continuous	onset	rhyme	mean_subtlex_zipf	155	155	3.8140141276261703	3.8271033924208204	0.7231527669324799	0.8201582479740144	3.663045029414799	3.7349237427772826	2.7299604555979133	6.503845434841056	2.6726410656136697	6.864889158213032	-0.016929166530879045	0.0967741935483871		
continuous	onset	rhyme	within_pair_subtlex_difference	155	155	0.9677886803071414	0.9671995171523793	0.894046932395349	0.931003358685129	0.6620579210032478	0.5387173259661742	0.0	3.3482575251828948	0.0	3.5104301022864006	0.0006455081302935286	0.05806451612903226		
continuous	onset	rhyme	mean_orthographic_length	155	155	4.087096774193548	4.083870967741936	0.6061063381712362	0.8390226124971394	4.0	4.0	2.5	5.5	2.0	6.5	0.004407506077919376	0.09032258064516129		
continuous	onset	rhyme	mean_phoneme_count	155	155	3.4806451612903224	3.4838709677419355	0.6617663076941603	0.7924549944996869	3.5	3.5	2.0	5.0	1.5	5.5	-0.004418665105505999	0.07741935483870968		
continuous	onset	rhyme	mean_syllable_count	155	155	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0		
continuous	onset	unrelated	mean_subtlex_zipf	155	310	3.8140141276261703	3.814410470114125	0.7231527669324799	0.7024797146717051	3.663045029414799	3.7579666599306325	2.7299604555979133	6.503845434841056	2.6726410656136697	5.577625571555803	-0.0005559649188227374	0.07419354838709677		
continuous	onset	unrelated	within_pair_subtlex_difference	155	310	0.9677886803071414	0.9608946774790369	0.894046932395349	0.8955082564381021	0.6620579210032478	0.6866094521109494	0.0	3.3482575251828948	0.0	3.625548230120091	0.007704708491388349	0.05806451612903226		
continuous	onset	unrelated	mean_orthographic_length	155	310	4.087096774193548	4.088709677419355	0.6061063381712362	0.5947735798040338	4.0	4.0	2.5	5.5	2.0	6.0	-0.002686082739221346	0.02258064516129032		
continuous	onset	unrelated	mean_phoneme_count	155	310	3.4806451612903224	3.47741935483871	0.6617663076941603	0.5316577709247704	3.5	3.5	2.0	5.0	2.0	5.0	0.0053741253609691205	0.07419354838709677		
continuous	onset	unrelated	mean_syllable_count	155	310	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0		
continuous	rhyme	unrelated	mean_subtlex_zipf	155	310	3.8271033924208204	3.814410470114125	0.8201582479740144	0.7024797146717051	3.7349237427772826	3.7579666599306325	2.6726410656136697	6.864889158213032	2.6726410656136697	5.577625571555803	0.016622707996704632	0.08387096774193549		
continuous	rhyme	unrelated	within_pair_subtlex_difference	155	310	0.9671995171523793	0.9608946774790369	0.931003358685129	0.8955082564381021	0.5387173259661742	0.6866094521109494	0.0	3.5104301022864006	0.0	3.625548230120091	0.00690239190383135	0.07096774193548387		
continuous	rhyme	unrelated	mean_orthographic_length	155	310	4.083870967741936	4.088709677419355	0.8390226124971394	0.5947735798040338	4.0	4.0	2.0	6.5	2.0	6.0	-0.006653655677235457	0.1032258064516129		
continuous	rhyme	unrelated	mean_phoneme_count	155	310	3.4838709677419355	3.47741935483871	0.7924549944996869	0.5316577709247704	3.5	3.5	1.5	5.5	2.0	5.0	0.009561119998823647	0.1		
continuous	rhyme	unrelated	mean_syllable_count	155	310	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0		
