task	word	exclusion_type
Sound	bad	critical_vocabulary
Sound	bake	critical_vocabulary
Sound	bank	critical_vocabulary
Sound	bat	critical_vocabulary
Sound	bed	critical_vocabulary
Sound	belt	critical_vocabulary
Sound	bend	critical_vocabulary
Sound	black	critical_vocabulary
Sound	blame	critical_vocabulary
Sound	boat	critical_vocabulary
Sound	bond	critical_vocabulary
Sound	brain	critical_vocabulary
Sound	brave	critical_vocabulary
Sound	bread	critical_vocabulary
Sound	brick	critical_vocabulary
Sound	brown	critical_vocabulary
Sound	bug	critical_vocabulary
Sound	build	critical_vocabulary
Sound	bulb	critical_vocabulary
Sound	cake	critical_vocabulary
Sound	call	critical_vocabulary
Sound	calm	critical_vocabulary
Sound	cliff	critical_vocabulary
Sound	cloth	critical_vocabulary
Sound	coast	critical_vocabulary
Sound	coat	critical_vocabulary
Sound	cone	critical_vocabulary
Sound	creep	critical_vocabulary
Sound	crook	critical_vocabulary
Sound	cup	critical_vocabulary
Sound	dash	critical_vocabulary
Sound	dead	critical_vocabulary
Sound	deck	critical_vocabulary
Sound	desk	critical_vocabulary
Sound	dive	critical_vocabulary
Sound	dump	critical_vocabulary
Sound	face	critical_vocabulary
Sound	fall	critical_vocabulary
Sound	fat	critical_vocabulary
Sound	feed	critical_vocabulary
Sound	feel	critical_vocabulary
Sound	fence	critical_vocabulary
Sound	flash	critical_vocabulary
Sound	food	critical_vocabulary
Sound	fresh	critical_vocabulary
Sound	fund	critical_vocabulary
Sound	gap	critical_vocabulary
Sound	gasp	critical_vocabulary
Sound	gift	critical_vocabulary
Sound	goal	critical_vocabulary
Sound	gown	critical_vocabulary
Sound	grip	critical_vocabulary
Sound	gust	critical_vocabulary
Sound	halt	critical_vocabulary
Sound	hate	critical_vocabulary
Sound	haunt	critical_vocabulary
Sound	help	critical_vocabulary
Sound	hip	critical_vocabulary
Sound	hum	critical_vocabulary
Sound	kid	critical_vocabulary
Sound	kiss	critical_vocabulary
Sound	land	critical_vocabulary
Sound	lend	critical_vocabulary
Sound	line	critical_vocabulary
Sound	log	critical_vocabulary
Sound	lump	critical_vocabulary
Sound	mad	critical_vocabulary
Sound	map	critical_vocabulary
Sound	mask	critical_vocabulary
Sound	meal	critical_vocabulary
Sound	mend	critical_vocabulary
Sound	mop	critical_vocabulary
Sound	mud	critical_vocabulary
Sound	mug	critical_vocabulary
Sound	must	critical_vocabulary
Sound	nail	critical_vocabulary
Sound	name	critical_vocabulary
Sound	need	critical_vocabulary
Sound	nut	critical_vocabulary
Sound	pack	critical_vocabulary
Sound	pail	critical_vocabulary
Sound	paint	critical_vocabulary
Sound	pan	critical_vocabulary
Sound	path	critical_vocabulary
Sound	pick	critical_vocabulary
Sound	pin	critical_vocabulary
Sound	plain	critical_vocabulary
Sound	plug	critical_vocabulary
Sound	poke	critical_vocabulary
Sound	prize	critical_vocabulary
Sound	rake	critical_vocabulary
Sound	ramp	critical_vocabulary
Sound	rap	critical_vocabulary
Sound	read	critical_vocabulary
Sound	red	critical_vocabulary
Sound	rent	critical_vocabulary
Sound	ride	critical_vocabulary
Sound	roast	critical_vocabulary
Sound	rock	critical_vocabulary
Sound	rod	critical_vocabulary
Sound	rug	critical_vocabulary
Sound	sack	critical_vocabulary
Sound	safe	critical_vocabulary
Sound	saint	critical_vocabulary
Sound	salt	critical_vocabulary
Sound	sand	critical_vocabulary
Sound	save	critical_vocabulary
Sound	sell	critical_vocabulary
Sound	silk	critical_vocabulary
Sound	sing	critical_vocabulary
Sound	size	critical_vocabulary
Sound	sleep	critical_vocabulary
Sound	slid	critical_vocabulary
Sound	slime	critical_vocabulary
Sound	slip	critical_vocabulary
Sound	smash	critical_vocabulary
Sound	snail	critical_vocabulary
Sound	snap	critical_vocabulary
Sound	sniff	critical_vocabulary
Sound	sock	critical_vocabulary
Sound	soup	critical_vocabulary
Sound	speed	critical_vocabulary
Sound	stack	critical_vocabulary
Sound	stall	critical_vocabulary
Sound	stick	critical_vocabulary
Sound	stop	critical_vocabulary
Sound	stove	critical_vocabulary
Sound	sweep	critical_vocabulary
Sound	tall	critical_vocabulary
Sound	toast	critical_vocabulary
Sound	town	critical_vocabulary
Sound	trap	critical_vocabulary
Sound	tribe	critical_vocabulary
Sound	trip	critical_vocabulary
Sound	truck	critical_vocabulary
Sound	van	critical_vocabulary
Sound	vest	critical_vocabulary
Sound	weed	critical_vocabulary
Sound	wide	critical_vocabulary
Sound	win	critical_vocabulary
Sound	yawn	critical_vocabulary
Sound	yeast	critical_vocabulary
Sound	yell	critical_vocabulary
Sound	zip	critical_vocabulary
Meaning	above	critical_vocabulary
Meaning	adult	critical_vocabulary
